,cik_str,ticker,title
10241,1004434,MGR,"AFFILIATED MANAGERS GROUP, INC."
10242,1174169,AQNA,ALGONQUIN POWER & UTILITIES CORP.
10243,1174169,AQNB,ALGONQUIN POWER & UTILITIES CORP.
10244,1171825,CIT-PB,CIT GROUP INC
10245,1174169,AGQPF,ALGONQUIN POWER & UTILITIES CORP.
10246,1179493,NURAF,NOMURA RESEARCH INSTITUTE LTD
10247,1209028,AAIC-PB,Arlington Asset Investment Corp.
10248,1209028,AAIC-PC,Arlington Asset Investment Corp.
10249,1224608,CNO-PA,"CNO Financial Group, Inc."
10250,1234006,GOODN,GLADSTONE COMMERCIAL CORP
10251,1254699,QVCC,QVC INC
10252,1255474,WLLAW,WHITING PETROLEUM CORP
10253,1255474,WLLBW,WHITING PETROLEUM CORP
10254,1263011,EXNRF,EXCELLON RESOURCES INC
10255,1302350,JMPNL,JMP GROUP LLC
10256,1302350,JMPNZ,JMP GROUP LLC
10257,1298946,DRH-PA,DiamondRock Hospitality Co
10258,1299709,AXO,"Axos Financial, Inc."
10259,1299939,BXS-PA,BancorpSouth Bank
10260,1297996,DLR-PL,"DIGITAL REALTY TRUST, INC."
10261,1288098,TDHOF,T&D HOLDINGS INC
10262,1287032,PBC,PROSPECT CAPITAL CORP
10263,1288784,SBNYP,Signature Bank Corp
10264,1267395,AHL-PE,ASPEN INSURANCE HOLDINGS LTD
10265,1267238,AIZN,"ASSURANT, INC."
10266,1273685,NYMTM,NEW YORK MORTGAGE TRUST INC
10267,1282957,GLU-PA,GABELLI GLOBAL UTILITY & INCOME TRUST
10268,1279704,CLRBZ,"Cellectar Biosciences, Inc."
10269,1126961,GRRBP,GRANDSOUTH BANCORPORATION
10270,1115055,PNFPP,PINNACLE FINANCIAL PARTNERS INC
10271,1114446,AMNA,UBS AG
10272,1114446,AMND,UBS AG
10273,1114446,AMTR,UBS AG
10274,1114446,AMU,UBS AG
10275,1114446,AMUB,UBS AG
10276,1114446,BDCL,UBS AG
10277,1114446,UCIB,UBS AG
10278,1114446,USML,UBS AG
10279,1114446,USV,UBS AG
10280,1114446,WTID,UBS AG
10281,1114446,WTIU,UBS AG
10282,1114446,UAG,UBS AG
10283,1114446,UBG,UBS AG
10284,1114446,UCI,UBS AG
10285,1114446,SMHD,UBS AG
10286,1114446,OILX,UBS AG
10287,1114446,PFFL,UBS AG
10288,1114446,PYPE,UBS AG
10289,1114446,QULL,UBS AG
10290,1114446,SDYL,UBS AG
10291,1114446,SMHB,UBS AG
10292,1114446,MRRL,UBS AG
10293,1114446,MTUL,UBS AG
10294,1114446,MVRL,UBS AG
10295,1114446,MLPG,UBS AG
10296,1114446,MLPI,UBS AG
10297,1114446,MLPQ,UBS AG
10298,1114446,MLPR,UBS AG
10299,1114446,MLPZ,UBS AG
10300,1114446,MORL,UBS AG
10301,1114446,LBDC,UBS AG
10302,1114446,LMLB,UBS AG
10303,1114446,LMLP,UBS AG
10304,1114446,LRET,UBS AG
10305,1114446,MLPB,UBS AG
10306,1114446,IWML,UBS AG
10307,1114446,HDLB,UBS AG
10308,1114446,HDLV,UBS AG
10309,1114446,HOML,UBS AG
10310,1114446,IWDL,UBS AG
10311,1114446,IWFL,UBS AG
10312,1114446,FBGX,UBS AG
10313,1114446,FIEE,UBS AG
10314,1114446,FIHD,UBS AG
10315,1114446,FUD,UBS AG
10316,1114446,DJCB,UBS AG
10317,1114446,DJCI,UBS AG
10318,1114446,DVHL,UBS AG
10319,1114446,DVYL,UBS AG
10320,1114446,EVIX,UBS AG
10321,1114446,EXIV,UBS AG
10322,1114446,CEFL,UBS AG
10323,1114446,CEFZ,UBS AG
10324,1114446,BDCS,UBS AG
10325,1114446,BDCX,UBS AG
10326,1114446,BDCY,UBS AG
10327,1114446,BDCZ,UBS AG
10328,1114446,CEFD,UBS AG
10329,1099219,MET-PF,METLIFE INC
10330,1104038,VRMEW,"VerifyMe, Inc."
10331,1166126,CPPRQ,"Old COPPER Company, Inc."
10332,1164771,NDMLF,NORTHERN DYNASTY MINERALS LTD
10333,1163560,GTMAF,GRUPO TMM SAB
10334,1159508,DGP,DEUTSCHE BANK AKTIENGESELLSCHAFT
10335,1159508,DGZ,DEUTSCHE BANK AKTIENGESELLSCHAFT
10336,1159508,DZZ,DEUTSCHE BANK AKTIENGESELLSCHAFT
10337,1136174,OTRKP,"Ontrak, Inc."
10338,1136352,CEQP-P,Crestwood Equity Partners LP
10339,1137774,PFH,PRUDENTIAL FINANCIAL INC
10340,1137774,PRS,PRUDENTIAL FINANCIAL INC
10341,1143513,GLADD,GLADSTONE CAPITAL CORP
10342,1143513,GLADL,GLADSTONE CAPITAL CORP
10343,1132979,FRC-PJ,FIRST REPUBLIC BANK
10344,1132979,FRC-PK,FIRST REPUBLIC BANK
10345,1132979,FRC-PL,FIRST REPUBLIC BANK
10346,1131312,ZNOGW,ZION OIL & GAS INC
10347,1609253,CRCQW,California Resources Corp
10348,1609989,BUFF,"Blue Buffalo Pet Products, Inc."
10349,1610590,CHEKZ,Check-Cap Ltd
10350,1610820,BCTXW,BriaCell Therapeutics Corp.
10351,1610940,BDRY,ETF Managers Group Commodity Trust I
10352,1610940,RISE,ETF Managers Group Commodity Trust I
10353,1612720,NEXTW,NextDecade Corp.
10354,1611983,LBRDP,Liberty Broadband Corp
10355,1611852,RONWF,"Roan Holdings Group Co., Ltd."
10356,1597033,SABRP,Sabre Corp
10357,1601669,WTREP,Watford Holdings Ltd.
10358,1601712,SYF-PA,Synchrony Financial
10359,1571283,REXR-PC,"Rexford Industrial Realty, Inc."
10360,1591890,FGFPP,"FG Financial Group, Inc."
10361,1590364,FTAI-PA,Fortress Transportation & Infrastructure Investors LLC
10362,1590364,FTAI-PB,Fortress Transportation & Infrastructure Investors LLC
10363,1587987,NEWTL,Newtek Business Services Corp.
10364,1587987,NEWTZ,Newtek Business Services Corp.
10365,1586009,WEIFX,Wildermuth Endowment Fund
10366,1586009,WESFX,Wildermuth Endowment Fund
10367,1585855,GGZ-PA,Gabelli Global Small & Mid Cap Value Trust
10368,1528930,FRGAP,"Franchise Group, Inc."
10369,1527590,RCA,Ready Capital Corp
10370,1527590,RCB,Ready Capital Corp
10371,1527590,RCC,Ready Capital Corp
10372,1527590,RCP,Ready Capital Corp
10373,1523289,MSFDX,Destra Multi-Alternative Fund
10374,1521332,APTV-PA,Aptiv PLC
10375,1523289,MSFIX,Destra Multi-Alternative Fund
10376,1523289,MSFYX,Destra Multi-Alternative Fund
10377,1526113,GNL-PB,"Global Net Lease, Inc."
10378,1527469,ATH-PB,Athene Holding Ltd
10379,1527469,ATH-PC,Athene Holding Ltd
10380,1527469,ATH-PD,Athene Holding Ltd
10381,1545772,BPYPN,Brookfield Property Partners L.P.
10382,1545772,BPYPO,Brookfield Property Partners L.P.
10383,1539638,TBKCP,"Triumph Bancorp, Inc."
10384,1538495,UNOV,"Earth Science Tech, Inc."
10385,1535365,CMDT,iSHARES COMMODITY OPTIMIZED TRUST
10386,1536577,MDLQ,Medley LLC
10387,1536674,NVOOF,Novo Resources Corp.
10388,1533232,BEP-PA,Brookfield Renewable Partners L.P.
10389,1534043,FUPPF,Fuchs Petrolub SE/ADR
10390,1568162,AFINO,"American Finance Trust, Inc"
10391,1569329,YGYIP,"Youngevity International, Inc."
10392,1565381,XDMBX,"BNY Mellon Municipal Bond Infrastructure Fund, Inc."
10393,1562463,INBKZ,First Internet Bancorp
10394,1561880,PRCD,"Legacy Education Alliance, Inc."
10395,1552000,MPLXP,MPLX LP
10396,1552198,WHFBZ,"WhiteHorse Finance, Inc."
10397,1556593,NRZ-PA,New Residential Investment Corp.
10398,1556593,NRZ-PB,New Residential Investment Corp.
10399,1556593,NRZ-PC,New Residential Investment Corp.
10400,1554818,AUUDW,AUDDIA INC.
10401,1554625,PRIF-PB,"Priority Income Fund, Inc."
10402,1554625,PRIF-PC,"Priority Income Fund, Inc."
10403,1554625,PRIF-PD,"Priority Income Fund, Inc."
10404,1554625,PRIF-PE,"Priority Income Fund, Inc."
10405,1554625,PRIF-PF,"Priority Income Fund, Inc."
10406,1682220,SACC,Sachem Capital Corp.
10407,1682220,SCCB,Sachem Capital Corp.
10408,1682220,SCCC,Sachem Capital Corp.
10409,1681682,NDRAW,ENDRA Life Sciences Inc.
10410,1679450,HNTWF,Hunter Maritime Acquisition Corp.
10411,1679063,CSSEN,"Chicken Soup for the Soul Entertainment, Inc."
10412,1678130,OPP-PA,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc."
10413,1688554,PFLEX,PIMCO Flexible Credit Income Fund
10414,1688554,PFALX,PIMCO Flexible Credit Income Fund
10415,1688487,XDIV,Metaurus Equity Component Trust
10416,1690080,ATNFW,180 Life Sciences Corp.
10417,1685040,BHFAN,"Brighthouse Financial, Inc."
10418,1685040,BHFAO,"Brighthouse Financial, Inc."
10419,1698514,NESRW,National Energy Services Reunited Corp.
10420,1691936,ANDAW,Andina Acquisition Corp. III
10421,1697805,XYNPW,"XYNOMIC PHARMACEUTICALS HOLDINGS, INC."
10422,1697851,REKRP,"Rekor Systems, Inc."
10423,1693577,MNSBP,"MainStreet Bancshares, Inc."
10424,1719406,BRPAW,Big Rock Partners Acquisition Corp.
10425,1719489,KLR-WT,"Kaleyra, Inc."
10426,1719406,BRPAR,Big Rock Partners Acquisition Corp.
10427,1721386,LFACW,Landsea Homes Corp
10428,1721386,LSEAW,Landsea Homes Corp
10429,1720990,FSR-WT,Fisker Inc./DE
10430,1720592,RPAYW,Repay Holdings Corp
10431,1720821,PAEWW,PAE Inc
10432,1722438,CAP-UN,Capitol Investment Corp. V
10433,1722438,CAP-WT,Capitol Investment Corp. V
10434,1725872,MFAC-WT,"BM Technologies, Inc."
10435,1729944,IMACW,"IMAC Holdings, Inc."
10436,1730168,AVGOP,Broadcom Inc.
10437,1725134,DMS-WT,"Digital Media Solutions, Inc."
10438,1725063,CNJG,Jufeel International Group
10439,1725872,BMTX-WT,"BM Technologies, Inc."
10440,1723701,PMFLX,PIMCO Flexible Municipal Income Fund
10441,1723580,BFIIW,"BurgerFi International, Inc."
10442,1708410,WINRW,SIMPLICITY ESPORTS & GAMING Co
10443,1709682,NSCO-WT,"NESCO HOLDINGS, INC."
10444,1708176,HOFVW,Hall of Fame Resort & Entertainment Co
